Pokemon,Mobility,Support,Scoring,0ffense,Endurance,Damage,HP,Attack,Defense,Sp. Attack,Sp. Defense,Crit Rate,CDR,Lifesteal,Attack Speed,Move Speed,Attack Range,Attack Type,Difficulty,Evolution 1,Evolution 2,Move A Level Unlocked,Move B Level Unlocked,Unite Level Unlocked,Unite Cooldown,Class
Mimikyu,3.5,1,1,4,2.5,4,7400,420,400,115,360,20,0,15,30,4300,Melee,Physical ,1,-1,-1,5,7,9,112,All-Arounder
Miraidon,4,2,2,4,1.5,4,7000,330,280,1000,240,0,20,0,20,4250,Ranged,Special,0,-1,-1,5,7,9,112,Attackers
Mr. Mime,1,4,1.5,1.5,4,3.5,8800,293,420,450,361,0,10,0,29.99,4400,Melee,Special,1,-1,-1,4,6,9,100,Supporter
Ninetales,1.5,3,2.5,4,1.5,2.5,6299,289,175,1002,135,0,25,0,30,4300,Ranged,Special,0,4,-1,4,6,9,112,Attackers
Pikachu,2.5,1.5,2,4.5,1.5,2.5,6300,290,175,954,135,0,25,0,10,4300,Ranged,Special,0,-1,-1,4,6,9,89,Attackers
Sableye,2.5,3.5,3.5,1,2.5,2.5,6900,300,200,120,150,0,10,0,20,4300,Melee,Physical ,1,-1,-1,4,6,8,100,Supporter
Scizor,4,1,2,4.5,2.5,4.5,8100,460,510,115,410,20,0,15,30,4250,Melee,Physical ,1,5,-1,5,7,9,112,All-Arounder
Scyther,4,1,2,4.5,2.5,4.5,6450,630,300,115,200,10,20,0,30,4250,Melee,Physical ,1,5,-1,5,7,9,112,Speedster
Slowbro,2.5,4,1.5,1.5,4,2.5,9400,292,480,411,420,0,10,0,30,4300,Ranged,Special,0,4,-1,4,6,9,112,Defender
Snorlax,2,2.5,1.5,1.5,5,3,9899,345,580,116,440,0,10,0,40,4250,Melee,Physical ,0,-1,-1,5,7,9,112,Defender
Sylveon,1.5,3.5,3.5,3.5,1.5,2.5,7148,363,260,720,191,0,10,0,39.99,4300,Ranged,Special,0,4,-1,4,6,8,112,Attackers
Talonflame,5,0.5,3.5,2.5,1.5,4,6300,710,290,117,200,10,20,0,39.98,4250,Melee,Physical ,1,5,7,5,7,9,100,Speedster
Trevenant,2,2.5,2.5,2,4,2.5,9599,330,520,117,421,0,10,0,30,4400,Melee,Physical ,1,5,-1,5,7,9,100,Defender
Tsareena,3,0.5,1.5,3.5,3,2,7298,460,410,114,340,20,0,20,50.01,4250,Melee,Physical ,2,4,6,5,6,9,112,All-Arounder
Tyranitar,2,1,1.5,4,4,4,8950,450,520,114,395,20,0,15,30,4400,Melee,Physical ,1,5,9,5,9,9,112,All-Arounder
Umbreon,1.5,4,1.5,1.5,4,2.5,9550,350,500,114,400,0,10,0,30,4300,Melee,Physical ,0,4,-1,4,6,8,112,Defender
Urshifu,2.5,1,2.5,4.5,3,4.5,7900,480,430,115,340,20,0,15,30,4300,Melee,Physical ,1,5,-1,5,7,9,112,All-Arounder
Venusaur,2,1,2.5,4.5,2,1.5,6500,292,225,962,169,0,25,0,20.01,4300,Ranged,Special,0,5,7,5,7,9,112,Attackers
Wigglytuff,2.5,4.5,2,1,2.5,2.5,9452,310,539,552,482,0,10,0,20,4300,Melee,Special,1,4,-1,4,6,8,89,Supporter
Zacian,3,2,1,5,4,4.5,8000,580,440,115,350,10,0,15,40,4400,Melee,Physical ,1,-1,-1,5,7,9,112,All-Arounder
Zeraora,4,0.5,3,3.5,1.5,3.5,6319,649,300,118,200,10,20,0,29.99,4250,Melee,Physical ,1,-1,-1,5,7,9,112,Speedster
Zoroark,4,0.5,2,3.5,1.5,3.5,6200,660,260,120,180,10,20,0,30,4250,Melee,Physical ,2,5,-1,5,7,9,100,Speedster
